Beekeepers Exclusive to State,Colonies Exclusive to State,if than for year,Path,Region,State,Year,Year (copy),Beekeepers,Beekeepers Calc,Colonies,Colonies Calc,Colonies per keeper,Total Winter All Loss
54.5%,13.6%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,District of Columbia,2018-19,2018-19,11,301,301,301,27.363636364,34%
100%,100%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2018-19,2018-19,71,460,460,460,6.478873239,35%
50%,0.1%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2018-19,2018-19,14,53017,53017,53017,3786.928571429,35%
100%,100%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2018-19,2018-19,36,190,190,190,5.277777778,37%
92.4%,86.5%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2018-19,2018-19,66,749,749,749,11.348484848,37%
90%,48.4%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2018-19,2018-19,30,758,758,758,25.266666667,38%
100%,100%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2018-19,2018-19,43,333,333,333,7.744186047,38%
76.9%,0.2%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2018-19,2018-19,26,40427,40427,40427,1554.884615385,39%
88.9%,2.4%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2018-19,2018-19,108,27012,27012,27012,250.111111111,39%
97.4%,35.6%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2018-19,2018-19,116,1643,1643,1643,14.163793103,41%
95%,98.3%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2018-19,2018-19,20,117,117,117,5.85,42%
98.2%,92.1%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2018-19,2018-19,674,6300,6300,6300,9.347181009,43%
95.6%,95.2%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2018-19,2018-19,68,1164,1164,1164,17.117647059,45%
83.6%,28.1%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2018-19,2018-19,140,142475,142475,142475,1017.678571429,46%
93.3%,85.7%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2018-19,2018-19,15,126,126,126,8.4,47%
96.3%,96.5%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2018-19,2018-19,108,951,951,951,8.805555556,55%
80%,3.4%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,,,2018-19,2018-19,5,352,352,352,70.4,56%
96.4%,97.2%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2018-19,2018-19,83,857,857,857,10.325301205,62%
87.5%,0.7%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2018-19,2018-19,8,13102,13102,13102,1637.75,63%
100%,100%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2018-19,2018-19,15,119,119,119,7.933333333,66%
